,F,N,Plate-IFU,g,i,r,u,z
0,12.7947,20.4539,b'10001-12701',181.672,350.718,270.235,77.6301,413.049
1,12.4553,12.8573,b'10001-12702',151.12,384.604,242.519,22.3434,396.399
2,13.8626,17.9077,b'10001-12703',238.613,592.728,406.464,77.8816,635.975
3,18.0685,33.3457,b'10001-12704',763.33,2278.58,1507.43,221.567,2387.32
4,30.9177,41.8884,b'10001-12705',337.542,750.8,531.342,118.605,822.353
5,0.447768,1.28815,b'10001-1901',61.0798,201.485,134.403,13.8824,282.302
6,2.10541,6.49372,b'10001-1902',552.154,1783.71,1204.56,109.153,2366.99
7,-0.0155907,0.683539,b'10001-3701',87.4671,287.038,195.031,16.7959,385.377
8,18.7843,31.8565,b'10001-3702',440.169,1156.84,823.155,148.238,1486.83
9,6.84751,10.219,b'10001-3703',98.6509,239.26,169.489,33.5648,301.544
10,6.28506,12.4079,b'10001-3704',628.59,1843.17,1274.89,132.18,2331.35
11,0.25741,1.2471,b'10001-6101',138.678,564.811,353.613,29.5805,782.314
12,26.3186,40.7346,b'10001-6102',881.089,2629.81,1805.69,244.875,3327.23
13,5.48455,8.7879,b'10001-6103',569.797,1796.53,1220.11,122.692,2453.3
14,1.87596,5.47758,b'10001-6104',598.175,2021.27,1313.51,102.907,2575.15
15,19.1499,26.2838,b'10001-9101',227.201,451.799,344.044,83.4652,475.77
16,0.0,0.0,b'10001-9102',219.97,819.407,526.243,53.1298,1085.95
17,0.0,0.0,b'10213-12701',102.969,455.736,288.975,34.488,579.982
18,0.0,0.0,b'10213-12702',142.067,293.346,201.133,60.261,386.635
19,0.868851,4.15751,b'10213-12703',90.5984,430.741,169.394,44.572,188.984
20,0.0,0.0,b'10213-12704',442.444,1654.68,1014.5,120.132,1937.81
21,69.8281,85.7978,b'10213-12705',777.549,2000.83,1343.75,274.784,2249.25
22,0.0,0.0,b'10213-1901',809.485,2568.1,1740.58,154.264,3306.41
23,56.2494,88.7647,b'10213-1902',754.754,1927.84,1266.23,282.072,2120.21
24,0.0,0.0,b'10213-3701',127.44,495.773,320.43,36.8801,648.151
25,0.0,0.0,b'10213-3702',96.5381,437.331,279.834,15.5892,637.095
26,0.0,0.0,b'10213-3703',387.505,803.177,623.158,143.487,956.987
27,0.0,0.0,b'10213-3704',215.982,939.004,552.973,27.4241,1215.96
28,0.0,0.0,b'10213-6101',277.216,846.889,586.757,161.449,1101.99
29,-0.151793,0.051606,b'10213-6102',241.055,906.876,580.797,48.7034,1283.14
30,15.3106,16.368,b'10213-6103',630.007,1863.67,1246.2,158.278,2505.39
31,0.0,0.0,b'10213-6104',464.506,1771.37,1128.15,81.711,2366.6
32,0.0,0.0,b'10213-9101',657.122,1860.71,1276.1,183.942,2370.13
33,0.0,0.0,b'10213-9102',127.228,341.375,213.833,50.7372,260.377
34,31.3383,48.0195,b'10214-12701',552.362,1338.52,939.938,137.43,1554.93
35,0.252815,1.59145,b'10214-12702',226.087,789.777,530.125,77.8918,1105.88
36,13.8625,39.6418,b'10214-12703',1767.1,5487.37,3599.46,376.709,6675.45
37,-0.400515,12.4286,b'10214-12705',547.422,1850.77,1056.56,480.643,2057.66
38,8.86232,13.109,b'10214-1901',243.388,818.596,512.749,64.9672,905.821
39,2.2514,5.16821,b'10214-1902',210.559,628.609,441.059,50.2033,816.661
40,1.28115,5.08617,b'10214-3702',578.381,1969.79,1299.83,84.5065,2603.79
41,1.8195,3.38559,b'10214-3703',337.314,1195.61,786.602,78.2858,1586.64
42,0.0705241,1.46503,b'10214-3704',232.252,812.881,542.554,46.1765,1081.21
43,32.8248,49.6766,b'10214-6101',470.969,1026.5,759.608,173.147,1219.15
44,0.774626,2.6095,b'10214-6102',248.353,785.709,530.332,51.9219,1028.32
45,63.6502,81.6975,b'10214-6103',442.598,782.896,676.23,211.439,914.217
46,18.6044,26.9393,b'10214-6104',227.449,528.997,398.235,80.322,619.16
47,1.93496,9.24709,b'10214-9101',1098.17,3478.42,2341.87,249.686,4143.72
48,0.69507,3.2498,b'10214-9102',113.169,481.082,302.681,34.0671,661.078
49,0.856725,3.71025,b'10215-12701',213.813,783.745,495.617,44.6445,1068.91
50,21.4706,32.2118,b'10215-12702',225.337,463.366,343.527,87.1784,545.663
51,50.6605,82.5207,b'10215-12703',626.431,1110.01,876.297,256.044,1151.97
52,25.4614,42.1851,b'10215-12704',896.324,2643.36,1806.45,247.97,3513.52
53,22.4508,31.0934,b'10215-12705',330.263,944.021,564.197,127.414,947.562
54,17.255,23.7565,b'10215-1901',220.214,505.245,380.419,71.3606,626.02
55,1.39814,5.71838,b'10215-1902',146.259,364.915,264.971,43.905,457.35
56,40.5509,51.0581,b'10215-3701',259.399,479.156,378.16,108.002,535.826
57,28.0109,60.0807,b'10215-3702',1146.09,3409.99,2297.66,300.903,4354.24
58,4.11407,7.80757,b'10215-3703',367.552,1213.24,805.72,85.0512,1611.43
59,-0.000155818,1.8341,b'10215-3704',191.831,743.903,467.512,36.8848,1042.35
60,2.74795,5.2689,b'10215-6101',209.116,734.564,480.07,50.1562,949.985
61,242.511,348.249,b'10215-6102',1421.21,2312.23,1928.72,705.898,2689.76
62,7.98072,12.9613,b'10215-6103',157.178,371.57,273.217,49.6107,442.49
63,24.825,45.8798,b'10215-6104',443.155,986.42,700.01,153.423,1140.97
64,3.93392,5.43749,b'10215-9101',99.472,238.674,175.379,30.666,319.359
65,0.427051,-2.76431e-05,b'10215-9102',134.723,454.712,292.219,28.5393,602.976
66,13.4655,23.1837,b'10216-12701',259.485,616.252,449.206,89.1687,743.737
67,13.535,17.1796,b'10216-12702',523.278,1649.55,1074.65,176.645,2251.08
68,19.929,29.3583,b'10216-12703',190.937,397.207,290.413,75.5136,477.917
69,14.2989,24.2643,b'10216-12705',223.809,499.17,369.362,84.9514,632.406
70,-2.1058e-06,0.0,b'10216-1901',126.815,427.971,286.467,25.3815,576.887
71,-0.0290012,2.05702,b'10216-1902',147.365,423.182,301.76,34.4996,538.044
72,1.00881,3.46856,b'10216-3701',220.347,650.238,449.984,52.8873,859.145
73,0.316257,1.71273,b'10216-3702',177.618,545.921,376.762,41.9735,710.628
74,2.14546,0.0746296,b'10216-3703',148.878,528.291,347.493,27.9095,717.59
75,3.83808,7.68946,b'10216-3704',821.953,2619.59,1771.83,177.489,3381.63
76,8.0148,18.0925,b'10216-6101',538.012,1660.79,1130.45,143.745,2042.13
77,6.45139,12.529,b'10216-6103',219.231,633.426,433.695,59.7981,803.584
78,1.01981,5.98949,b'10216-9101',1162.93,4358.11,2661.62,188.902,6221.88
79,1.20945,4.20637,b'10216-9102',239.453,803.055,528.538,56.6676,973.504
80,32.8143,42.9802,b'10217-12701',382.196,749.333,519.237,172.286,993.981
81,10.5592,13.6587,b'10217-12702',192.872,560.664,393.885,62.0581,677.122
82,65.8328,108.483,b'10217-12705',1043.1,2651.01,1782.54,347.528,2976.18
83,-1.35357e-05,7.51536,b'10217-1901',441.5,1366.16,900.232,95.8965,1650.44
84,0.472955,1.2664,b'10217-1902',204.802,648.237,442.025,42.2957,868.944
85,5.71816,11.0914,b'10217-3701',207.548,586.91,404.334,62.9061,737.534
86,0.923132,3.05991,b'10217-3702',180.362,592.242,392.36,32.173,799.45
87,51.7015,91.9298,b'10217-3703',789.724,1944.08,1366.17,264.723,2368.12
88,2.95141,5.42804,b'10217-3704',222.036,808.471,505.951,42.4851,1000.29
89,0.407186,0.388031,b'10217-6101',190.19,659.546,439.954,62.6889,864.026
90,-0.212544,1.29573,b'10217-6102',148.465,599.463,367.047,35.1072,882.425
91,3.86982,11.1473,b'10217-6103',214.28,546.66,382.649,64.4833,769.676
92,0.582295,2.31158,b'10217-6104',154.92,640.578,399.251,60.8256,818.199
93,2.72608,-0.178691,b'10217-9101',128.174,324.953,217.622,27.0061,-156.573
94,167.515,251.679,b'10217-9102',1089.17,1720.56,1443.1,483.368,1885.55
95,10.9998,18.5172,b'10218-12701',303.965,791.638,556.415,77.679,985.482
96,70.5952,91.7145,b'10218-12702',890.957,1914.7,1351.69,375.472,2103.31
97,76.8513,149.455,b'10218-12703',1456.76,3595.24,2533.61,413.799,4447.39
98,77.0589,114.442,b'10218-12704',488.957,743.227,633.866,217.595,812.871
99,44.3922,57.4737,b'10218-12705',511.126,1169.9,884.692,259.378,1274.75
100,21.2181,36.8194,b'10218-1901',224.628,397.626,330.425,100.675,467.5
101,2.9955,9.19105,b'10218-1902',444.526,1354.91,924.466,94.519,1762.87
102,10.8944,18.3495,b'10218-3701',245.047,631.538,435.021,75.6326,771.475
103,0.52657,1.99022,b'10218-3702',236.268,804.187,535.81,39.0627,1061.53
104,37.1948,59.9388,b'10218-3703',815.15,2256.13,1562.89,223.138,2943.42
105,50.7102,104.431,b'10218-3704',991.766,2276.91,1677.74,349.107,2802.63
106,1.41035,-0.00551904,b'10218-6101',169.495,665.79,429.567,26.5459,889.772
107,8.6595,21.3541,b'10218-6102',562.301,1740.17,1159.45,158.196,2281.42
108,33.6733,53.6668,b'10218-6103',271.771,463.915,357.073,109.441,539.647
109,2.56552,2.96529,b'10218-6104',122.87,370.548,248.353,35.4492,450.456
110,29.6951,39.0918,b'10218-9101',324.476,538.647,449.306,145.456,543.442
111,0.0,0.0,b'10218-9102',332.235,857.774,583.678,196.722,1152.64
112,60.9813,81.5325,b'10219-12701',774.229,1714.08,1226.89,309.245,1797.59
113,54.9383,63.8738,b'10219-12702',908.201,2284.99,1565.03,273.322,2347.86
114,13.1045,15.1545,b'10219-12703',230.164,686.146,458.692,77.1705,933.167
115,25.7604,22.0808,b'10219-12704',10432.8,6755.39,5349.85,7703.35,-519.941
116,8.48385,17.0822,b'10219-12705',406.538,1049.62,695.488,158.86,786.021
117,1.66865,3.33943,b'10219-1901',181.487,481.098,346.841,44.4662,724.5
118,1.55606,6.32828,b'10219-1902',73.1468,229.943,149.983,21.7273,273.601
119,0.0,0.0,b'10219-3701',248.945,706.516,486.197,71.0904,901.291
120,-2.72796,2.3685,b'10219-3702',396.786,1129.52,781.017,199.19,1642.87
121,1.37415,0.0486776,b'10219-3703',99.6521,262.172,185.327,28.3305,313.867
122,-0.64871,3.00071,b'10219-3704',410.173,1519.96,993.213,72.313,1988.85
123,6.72114,-0.378501,b'10219-6101',124.994,326.291,219.891,58.1029,314.521
124,5.37062,8.07161,b'10219-6103',105.577,272.199,194.78,36.3902,275.243
125,23.0205,35.0079,b'10219-6104',289.44,570.189,428.941,109.022,619.072
126,25.2304,29.7014,b'10219-9101',237.677,488.67,353.105,91.645,524.893
127,120.059,159.53,b'10219-9102',1142.68,2320.74,1795.57,421.912,2759.59
128,13.2011,21.2325,b'10220-12701',404.624,1218.42,786.238,198.045,1571.38
129,10.8068,14.1882,b'10220-12702',581.886,2005.79,1203.04,159.297,2405.06
130,35.6574,50.2332,b'10220-12703',360.407,694.977,511.9,142.253,851.592
131,7.19069,16.3958,b'10220-12704',170.026,408.333,286.301,45.3606,452.758
132,50.3518,80.8602,b'10220-12705',1030.76,2782.06,1831.7,302.087,2818.32
133,5.99313,10.8675,b'10220-1901',318.718,927.958,643.012,74.5906,1182.52
134,0.385779,1.93006,b'10220-1902',152.242,478.07,329.132,33.6443,645.145
135,0.0,1.3921,b'10220-3701',72.8745,209.567,142.746,16.1667,282.243
136,6.24609,9.53162,b'10220-3702',237.754,786.545,521.228,57.7426,1040.5
137,0.988936,1.69052,b'10220-3704',216.759,782.735,512.103,37.2068,1018.86
138,0.00356548,-0.00853245,b'10220-6101',239.586,900.26,548.857,41.007,1161.26
139,0.574094,1.87929,b'10220-6102',140.47,517.216,338.146,26.0417,704.232
140,19.9042,28.8225,b'10220-6103',727.314,2181.51,1449.29,167.876,2839.71
141,19.0362,27.9588,b'10220-9101',581.732,1731.68,1168.31,159.19,2121.56
142,50.2893,76.6237,b'10220-9102',400.623,669.885,562.92,174.407,695.38
143,3.68156,6.02231,b'10221-12701',152.166,482.005,307.94,44.0061,598.701
144,33.5795,39.0537,b'10221-12702',176.467,443.05,269.037,171.229,835.539
145,45.0389,66.4206,b'10221-12703',319.025,482.0,452.138,141.369,540.262
146,25.9883,36.6717,b'10221-12704',232.116,461.75,300.068,156.617,405.296
147,39.4116,63.8493,b'10221-12705',432.71,769.615,573.105,172.316,1084.92
148,27.5009,42.9347,b'10221-1902',356.25,925.928,635.462,120.205,1064.92
149,2.24928,3.52974,b'10221-3701',145.825,398.9,300.852,35.357,605.12
