Plate-IFU,extinction
10001-12701,0.22157399212130036
10001-12702,-0.008863435038504766
10001-12703,0.23751734144000491
10001-12704,0.3876392444988775
10001-12705,0.2097563766348339
10001-1901,0.4076947033844783
10001-1902,-0.1514369807726722
10001-3701,-0.3295854154114333
10001-3702,0.24335075541695725
10001-3703,1.293578951123253
10001-3704,0.14978444311593755
10001-6101,-0.5524266759256279
10001-6102,0.35292011037509263
10001-6103,-0.9102440058965503
10001-6104,0.7910305611815297
10001-9101,0.14906994717998923
10001-9102,-0.44330269112027976
10213-12701,-1.1366950331115926
10213-12702,0.0805295103066896
10213-12703,0.23298140777525447
10213-12704,-0.7171701955643712
10213-12705,0.2768176830663531
10213-1901,0.0724651348649287
10213-1902,0.4726660618680046
10213-3701,0.4707029739552837
10213-3702,-6.43920219973028
10213-3703,0.13185200048507456
10213-3704,-1.4532450309331166
10213-6101,0.03419270655479557
10213-6102,0.042638311663025515
10213-6103,-0.09426360707035941
10213-6104,-0.29479688416071287
10213-9101,0.2946728711220144
10213-9102,-0.04663450317289177
10214-12701,0.19017372646806321
10214-12702,-1.3119349802668046
10214-12703,0.21006658605285836
10214-12705,-0.41992206887702704
10214-1901,0.06402119918796907
10214-1902,0.4144727283386546
10214-3702,0.14468550883383965
10214-3703,-0.7257323410033144
10214-3704,-0.18758993622639755
10214-6101,0.1137812502722499
10214-6102,-1.4226799629139932
10214-6103,0.07654111101878401
10214-6104,0.14253251647516368
10214-9101,-1.122529308091033
10214-9102,-6.070763934616279
10215-12701,0.1746721254049863
10215-12702,0.164129938041053
10215-12703,0.15170178307081184
10215-12704,0.20920913298511454
10215-12705,0.21428821433208153
10215-1901,0.14897382383049088
10215-1902,0.1732273767715821
10215-3701,0.07129701668377506
10215-3702,0.3774459615112196
10215-3703,0.4773835447420977
10215-3704,0.17623183471158776
10215-6101,0.3315630299337619
10215-6102,0.2242868318736868
10215-6103,0.2602348437921281
10215-6104,0.4121982666709486
10215-9101,-0.2061701805507035
10215-9102,0.22574589414024765
10216-12701,0.25201828209538124
10216-12702,0.47806111849151994
10216-12703,-0.06160646912367745
10216-12705,0.275824469912593
10216-1901,0.156224279038617
10216-1902,0.34099826308040065
10216-3701,0.39668111295611164
10216-3702,-1.0643153880800846
10216-3703,0.44132433540209426
10216-3704,0.5731072680973951
10216-6101,0.3671255622486246
10216-6103,0.49806016475868514
10216-9101,-1.3352517417553111
10216-9102,0.00337046633310555
10217-12701,0.15475646829473533
10217-12702,0.4501520932620024
10217-12705,0.30154253806882986
10217-1901,0.1907133849169765
