Plate-IFU,extinction,ha_6564,ha_6564c,l_ha,l_hac
10001-12701,0.21265643102214715,1.527960205078125e-14,2.477687170869317e-14,5.693909783009891e+40,9.23304623678309e+40
10001-12702,0.0027192349112915137,1.1267069578170776e-17,1.133692843019955e-17,4.55577066024605e+37,4.584017659718545e+37
10001-12703,0.31252008894790756,9.42249755859375e-15,1.917281427849615e-14,4.91012620324017e+40,9.991081153726633e+40
10001-12704,0.4627885052252373,3.0714956054687505e-14,8.794572038120963e-14,1.4957194206329889e+40,4.282673291198105e+40
10001-12705,0.2348388350817131,3.3990358886718754e-14,5.796804423425479e-14,1.7735655371438524e+41,3.0246849070392213e+41
10001-1901,0.48517789306473824,5.784635925292969e-16,1.7427843303001853e-15,9.199142669418438e+38,2.7715005582907636e+39
10001-1902,999.0,0.0,999.0,999.0,999.0
10001-3701,999.0,0.0,999.0,999.0,999.0
10001-3702,0.25977051337564466,3.3713051757812503e-14,6.084760910756696e-14,5.302406634902952e+40,9.570144185335507e+40
10001-3703,0.2666786535151339,2.760819091796875e-15,5.061778261069231e-15,1.1019933453711857e+40,2.020431536429416e+40
10001-3704,999.0,0.0,999.0,999.0,999.0
10001-6101,999.0,0.0,999.0,999.0,999.0
10001-6102,0.3349250910558179,1.3212666015625e-14,2.8289710756047173e-14,2.1609847306499372e+40,4.626896109083964e+40
10001-6103,999.0,0.0,999.0,999.0,999.0
10001-6104,999.0,0.0,999.0,999.0,999.0
10001-9101,0.20154748036316042,1.7163148193359376e-14,2.71371743554774e-14,6.690772316093314e+40,1.057898311365025e+41
10001-9102,999.0,0.0,999.0,999.0,999.0
10213-12701,999.0,0.0,999.0,999.0,999.0
10213-12702,0.10253317902810566,3.665943298339844e-15,4.6281401060372995e-15,1.206599920412826e+40,1.5232951055552117e+40
10213-12703,0.37316867380917107,2.6677167892456056e-16,6.230628205943108e-16,9.006394734866147e+38,2.1035027891691316e+39
10213-12704,999.0,0.0,999.0,999.0,999.0
10213-12705,0.3537304276654325,1.5326665039062502e-14,3.42491931138005e-14,3.623107416032257e+40,8.096249591641217e+40
10213-1901,999.0,0.0,999.0,999.0,999.0
10213-1902,0.3840626706142226,3.3520812988281254e-14,8.025298807792915e-14,1.9441079927854995e+41,4.654435905888249e+41
10213-3701,999.0,0.0,999.0,999.0,999.0
10213-3702,999.0,0.0,999.0,999.0,999.0
10213-3703,0.13566651239692792,3.58705224609375e-14,4.882785917416263e-14,3.521151046876488e+40,4.793079544215452e+40
10213-3704,999.0,0.0,999.0,999.0,999.0
10213-6101,999.0,0.0,999.0,999.0,999.0
10213-6102,999.0,0.0,999.0,999.0,999.0
10213-6103,999.0,0.0,999.0,999.0,999.0
10213-6104,999.0,0.0,999.0,999.0,999.0
10213-9101,0.2602567570343074,1.286085693359375e-14,2.3237819694668223e-14,1.602259464200278e+40,2.8950649809271794e+40
10213-9102,0.06923720108581444,2.4746527099609376e-15,2.8964445855919886e-15,2.0958941939101197e+39,2.4531286210340508e+39
10214-12701,0.24482555686248694,6.6839111328125005e-15,1.166064185816121e-14,1.3297821643479157e+40,2.3199161777764014e+40
10214-12702,999.0,0.0,999.0,999.0,999.0
10214-12703,999.0,0.0,999.0,999.0,999.0
10214-12705,999.0,0.0,999.0,999.0,999.0
10214-1901,999.0,0.0,999.0,999.0,999.0
10214-1902,999.0,0.0,999.0,999.0,999.0
10214-3702,999.0,0.0,999.0,999.0,999.0
10214-3703,999.0,0.0,999.0,999.0,999.0
10214-3704,999.0,0.0,999.0,999.0,999.0
10214-6101,0.13243065202282395,1.767846435546875e-14,2.38880157589807e-14,1.3210124478004203e+40,1.7850173825253264e+40
10214-6102,999.0,0.0,999.0,999.0,999.0
